City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Fort Nelson,CA,2021-05-23 21:45:29,58.8053,-122.7002,67.59,26,75,4.61
225,Mae Chan,TH,2021-05-23 21:49:21,20.1467,99.8526,81.79,80,97,1.45
226,Dunedin,NZ,2021-05-23 21:49:21,-45.8742,170.5036,48.79,64,89,8.01
227,Lauria,IT,2021-05-23 21:49:21,40.0465,15.8358,67.91,47,18,5.82
228,Namanga,KE,2021-05-23 21:49:22,-2.5433,36.7905,63.28,78,98,8.25
229,Bandar-E Lengeh,IR,2021-05-23 21:49:22,26.5579,54.8807,87.91,84,41,4.61
230,Kashiwazaki,JP,2021-05-23 21:49:22,37.3667,138.55,62.87,80,100,3.4
231,Tilichiki,RU,2021-05-23 21:49:23,60.4667,166.1,33.31,85,100,10.02
232,Geraldton,AU,2021-05-23 21:49:23,-28.7667,114.6,61.21,60,75,21.63
233,Deputatskiy,RU,2021-05-23 21:49:23,69.3,139.9,31.62,73,10,4.18
234,Okhotsk,RU,2021-05-23 21:49:23,59.3833,143.3,33.76,88,100,2.04
235,Penzance,GB,2021-05-23 21:49:24,50.1186,-5.5371,50.68,79,12,21.77
236,Atambua,ID,2021-05-23 21:49:24,-9.1061,124.8925,68.86,86,41,5.14
237,Maslovka,RU,2021-05-23 21:49:24,51.5535,39.2357,57.72,89,51,6.73
238,Coquimbo,CL,2021-05-23 21:44:47,-29.9533,-71.3436,62.33,66,0,5.37
239,Pamanukan,ID,2021-05-23 21:49:25,-6.2842,107.8106,75.96,90,41,5.19
240,Port Macquarie,AU,2021-05-23 21:49:25,-31.4333,152.9167,55.89,78,94,4.81
241,Mogok,MM,2021-05-23 21:49:26,22.9167,96.5,70.23,80,53,4.45
242,Iqaluit,CA,2021-05-23 21:49:26,63.7506,-68.5145,20.93,67,75,18.01
243,Sao Joao Da Barra,BR,2021-05-23 21:49:26,-21.6403,-41.0511,78.89,83,100,11.18
244,Agutaya,PH,2021-05-23 21:49:27,11.148,120.9417,84.72,68,15,9.31
245,Thio,NC,2021-05-23 21:49:27,-21.6167,166.2167,67.96,70,25,4.52
246,Port Orange,US,2021-05-23 21:47:15,29.1383,-80.9956,89.24,59,40,10.36
247,Nairobi,KE,2021-05-23 21:47:43,-1.2833,36.8167,64.27,88,75,6.91
248,Adelaide,AU,2021-05-23 21:46:07,-34.9333,138.6,67.15,38,0,5.01
249,Reforma,MX,2021-05-23 21:49:27,18.1,-91.0167,86.97,54,98,7.87
250,Mount Pleasant,US,2021-05-23 21:44:54,32.7941,-79.8626,93.18,51,1,5.99
251,Tank,PK,2021-05-23 21:49:28,32.2217,70.3793,83.03,33,0,5.53
252,Lac Du Bonnet,CA,2021-05-23 21:49:28,50.2536,-96.0612,55.58,73,100,7.2
253,Togur,RU,2021-05-23 21:49:28,58.3631,82.8265,55.22,79,16,11.1
254,Upernavik,GL,2021-05-23 21:44:52,72.7868,-56.1549,29.97,86,15,9.28
255,Tonantins,BR,2021-05-23 21:49:29,-2.8731,-67.8022,78.08,95,22,1.68
256,Torres,BR,2021-05-23 21:49:29,-29.3353,-49.7269,57.88,64,1,11.21
257,Yarmouth,US,2021-05-23 21:48:37,41.7057,-70.2286,86.22,61,90,9.22
258,Chinsali,ZM,2021-05-23 21:49:30,-10.5414,32.0816,60.89,62,63,5.73
259,Porbandar,IN,2021-05-23 21:49:30,21.6422,69.6093,83.41,77,0,12.03
260,Sabha,LY,2021-05-23 21:48:23,27.0377,14.4283,90.41,9,0,12.26
261,Salobrena,ES,2021-05-23 21:49:30,36.7428,-3.5872,63.75,61,5,6.98
262,Saint George,US,2021-05-23 21:49:31,37.1041,-113.5841,77.63,15,1,7.0
263,Garoua,CM,2021-05-23 21:44:06,9.3,13.4,84.02,54,84,5.19
264,Monrovia,LR,2021-05-23 21:49:31,6.3005,-10.7969,80.37,80,52,6.82
265,Pokhara,NP,2021-05-23 21:49:32,28.2333,83.9833,70.74,64,36,6.96
266,Marand,IR,2021-05-23 21:49:32,38.4329,45.7749,70.14,56,3,3.44
267,Juigalpa,NI,2021-05-23 21:49:32,12.1063,-85.3645,91.31,49,40,9.22
268,Zhigansk,RU,2021-05-23 21:49:33,66.7697,123.3711,41.99,45,5,8.23
269,Miracema Do Tocantins,BR,2021-05-23 21:49:33,-9.5618,-48.3967,78.87,67,80,3.4
270,Bethel,US,2021-05-23 21:44:12,41.3712,-73.414,87.35,42,20,14.97
271,Tortona,IT,2021-05-23 21:49:33,44.8978,8.8637,65.95,72,100,3.58
272,Victoria,HK,2021-05-23 21:43:57,22.2855,114.1577,85.32,83,42,5.01
273,Lisala,CD,2021-05-23 21:49:34,2.15,21.5167,71.2,98,100,0.2
274,Isangel,VU,2021-05-23 21:49:34,-19.55,169.2667,73.51,61,75,9.98
275,Ust-Tsilma,RU,2021-05-23 21:44:43,65.441,52.1498,33.13,70,20,3.53
276,Malindi,KE,2021-05-23 21:49:35,-3.2175,40.1191,78.96,76,28,20.74
277,Boa Vista,BR,2021-05-23 21:49:35,2.8197,-60.6733,87.78,62,40,11.5
278,Nchelenge,ZM,2021-05-23 21:49:35,-9.3451,28.734,67.28,52,7,11.25
279,Zemio,CF,2021-05-23 21:49:35,5.0314,25.1361,69.44,98,100,2.89
280,Prince Rupert,CA,2021-05-23 21:45:13,54.3161,-130.3201,53.69,71,90,8.05
281,Paamiut,GL,2021-05-23 21:44:44,61.994,-49.6678,33.51,88,100,16.8
282,Houma,US,2021-05-23 21:49:36,29.5958,-90.7195,84.2,66,100,4.0
283,Yelnya,RU,2021-05-23 21:49:36,54.5786,33.1837,46.15,97,13,6.98
284,Kimbe,PG,2021-05-23 21:49:37,-5.5502,150.1429,80.06,82,100,2.33
285,Demyansk,RU,2021-05-23 21:49:37,57.643,32.466,48.02,94,100,13.73
286,Dzhebariki-Khaya,RU,2021-05-23 21:49:37,62.2167,135.8,50.4,43,100,6.02
287,Gunzenhausen,DE,2021-05-23 21:49:38,49.1,10.75,49.19,85,20,5.28
288,Najran,SA,2021-05-23 21:49:38,17.4924,44.1277,81.25,40,17,7.16
289,Vardo,NO,2021-05-23 21:47:08,70.3705,31.1107,35.74,63,33,7.0
290,Grand-Santi,GF,2021-05-23 21:44:33,4.25,-54.3833,75.54,99,100,4.41
291,Korla,CN,2021-05-23 21:46:05,41.7597,86.1469,66.52,25,41,11.77
292,Guarapari,BR,2021-05-23 21:49:39,-20.6667,-40.4975,78.69,74,100,9.62
