City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Belturbet,IE,54.1,-7.45,62.62,90,74,7.65,broken clouds
330,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,91.33,49,20,11.5,few clouds
331,Maxixe,MZ,-23.8597,35.3472,76.82,69,20,4.61,few clouds
332,Luwuk,ID,-0.9516,122.7875,77.07,89,54,3.29,broken clouds
333,Dongsheng,CN,39.8161,109.9776,73.29,19,57,12.68,light rain
334,Kisangani,CD,0.5167,25.2,82.47,65,97,1.97,overcast clouds
335,Assens,DK,55.2702,9.9008,72.1,65,0,5.14,clear sky
336,Champawat,IN,29.3333,80.1,63.45,83,20,4.59,few clouds
337,Kalmunai,LK,7.4167,81.8167,83.39,76,41,4.99,scattered clouds
338,Leningradskiy,RU,69.3833,178.4167,31.37,81,54,3.98,broken clouds
339,Pereira Barreto,BR,-20.6383,-51.1092,91.09,26,78,9.84,broken clouds
340,Gulfport,US,30.3674,-89.0928,73.02,63,1,8.05,clear sky
341,Kurilsk,RU,45.2333,147.8833,38.88,96,100,10.09,overcast clouds
342,Dasoguz,TM,41.8363,59.9666,100.35,15,0,10.13,clear sky
343,Arcata,US,40.8665,-124.0828,52.57,88,90,3.58,overcast clouds
344,Laguna,US,38.421,-121.4238,73.22,74,1,1.99,clear sky
345,Luganville,VU,-15.5333,167.1667,72.14,91,100,5.64,overcast clouds
